レコード番号,案件管理CD(自動採番),会計CD,ブランド名,ブランド名(その他),物件名称,物件名称（カナ）,【PS】物件No,郵便番号,地図表示用 所在地,緯度_代表点,経度_代表点,確認日_代表点,緯度_入口指定,経度_入口指定,確認日_入口指定,確認方法,入口座標フラグ,入口座標の郵便番号,入口座標の都道府県,入口座標の市区町村,入口座標の町域以降,入口座標の建物名,備考,都道府県,市区町村,町域,丁,番,号,複数の番地,建物および階,補足情報（今までの経緯や駐車場の入口に関する情報等）,所在地(謄本地番),丁,番,号,複数の番地,開設日,閉鎖日,四輪(時間貸),自動二輪(時間貸),自転車(時間貸),時間貸台数,四輪(月極),自動二輪(月極),自転車(月極),月極台数
4574,P1000009,1010135,Dﾊﾟｰｷﾝｸﾞ,,函館本町PS第5,ハコダテホンチョウピーエスダイゴ,TOK8400016,040-0011,北海道函館市本町18-1隣,,,,,,,,,,,,,,,北海道,函館市,本町18-1隣,,,,,,,北海道函館市本町18-1隣,,,,,2023/06/09,,10,0,0,10,4,,,4
4575,P1000010,1010136,Dﾊﾟｰｷﾝｸﾞ,,小樽市花園2丁目PS第1,オタルシハナゾノニチョウメ,TOK8400082,047-0024,北海道小樽市花園２丁目８－１５,,,,,,,,,,,,,,,北海道,小樽市,花園２丁目８－１５,,,,,,,北海道小樽市花園２丁目８－１５,,,,,2024/02/21,,7,0,0,7,0,,,0
4576,P1000011,1010137,Dﾊﾟｰｷﾝｸﾞ,,函館千代台町PS第1,ハコダテチヨダイチョウピーエスダイイチ,TOK8400123,040-0013,北海道函館市千代台町28-10隣,,,,,,,,,,,,,,,北海道,函館市,千代台町28-10隣,,,,,,,北海道函館市千代台町28-10隣,,,,,2024/04/15,,11,0,0,11,0,,,0
4577,P1000012,1010138,Dﾊﾟｰｷﾝｸﾞ,,函館本町PS第6,ディーパーキングハコダテホンチョウピーエスダイロク,TOK8400126,040-0011,北海道函館市本町5-22,,,,,,,,,,,,,,,北海道,函館市,本町5-22,,,,,,,北海道函館市本町5-22,,,,,2024/04/15,,26,0,0,26,18,,,18
4578,P1000013,1010139,タイムパーク,,旭川4条通10丁目,アサヒカワヨンジョウドオリジュッチョウメ,TOK8500006,070-0034,北海道旭川市4条通10丁目2189,,,,,,,,,,,,,,,北海道,旭川市,4条通10丁目2189,,,,,,,北海道旭川市4条通10丁目2189,,,,,2024/06/03,,49,0,0,49,0,,,0
4579,P1000016,1010142,Dﾊﾟｰｷﾝｸﾞ,,旭川PS第3,アサヒカワピーエスダイサン,TOK8500095,070-0031,北海道旭川市1条通6丁目39-3,,,,,,,,,,,,,,,北海道,旭川市,1条通6丁目39-3,,,,,,,北海道旭川市1条通6丁目39-3,,,,,2024/11/05,,6,0,0,6,0,,,0
4580,P1000017,1010143,Dﾊﾟｰｷﾝｸﾞ,,旭川PS第1,アサヒカワピーエスダイイチ,TOK8500096,070-0032,北海道旭川市2条通7丁目384-2,,,,,,,,,,,,,,,北海道,旭川市,2条通7丁目384-2,,,,,,,北海道旭川市2条通7丁目384-2,,,,,2024/11/01,,20,0,0,20,0,,,0
4581,P1000018,1010144,Dﾊﾟｰｷﾝｸﾞ,,旭川PS第2,アサヒカワピーエスダイニ,TOK8500097,070-0031,北海道旭川市1条通10丁目2068-1,,,,,,,,,,,,,,,北海道,旭川市,1条通10丁目2068-1,,,,,,,北海道旭川市1条通10丁目2068-1,,,,,2024/11/01,,20,0,0,20,0,,,0
4582,P1000019,1020004,Dﾊﾟｰｷﾝｸﾞ,,弘前土手町PS第1,ヒロサキドテマチピーエスダイイチ,SND8500005,036-8182,青森県弘前市土手町１３５,,,,,,,,,,,,,,,青森県,弘前市,土手町１３５,,,,,,,青森県弘前市土手町１３５,,,,,2024/06/01,,35,0,0,35,10,,,10
4584,P1000021,1030003,Dﾊﾟｰｷﾝｸﾞ,,盛岡志家町PS第1,モリオカシケチョウピーエスダイイチ,SND8300018,020-0883,岩手県盛岡市志家町1,,,,,,,,,,,,,,,岩手県,盛岡市,志家町1,,,,,,,岩手県盛岡市志家町1,,,,,2023/03/11,,25,0,0,25,1,,,1
4585,P1000022,1030004,タイムパーク,,上ﾉ橋町PS第1,イワテケンモリオカシカミノハシマチサン－イチ,SND8300020,020-0887,岩手県盛岡市上ノ橋町3-1,,,,,,,,,,,,,,,岩手県,盛岡市,上ノ橋町3-1,,,,,,,岩手県盛岡市上ノ橋町3-1,,,,,2023/03/31,,13,0,0,13,4,,,4
4587,P1000024,1030006,Dﾊﾟｰｷﾝｸﾞ,,盛岡八幡町PS第1,モリオカハチマンマチピーエスダイイチ,SND8500028,020-0872,岩手県盛岡市八幡町75-1,,,,,,,,,,,,,,,岩手県,盛岡市,八幡町75-1,,,,,,,岩手県盛岡市八幡町75-1,,,,,2025/02/28,,6,0,0,6,0,,,0
4588,P1000025,1030007,Dﾊﾟｰｷﾝｸﾞ,,盛岡中央通PS第4,モリオカチュウオウトオリピーエスダイヨン,SND8600010,020-0021,岩手県盛岡市中央通２丁目11-15,,,,,,,,,,,,,,,岩手県,盛岡市,中央通２丁目11-15,,,,,,,岩手県盛岡市中央通２丁目11-15,,,,,2025/08/29,,25,0,0,25,0,,,0
4626,P1000064,1040063,Dﾊﾟｰｷﾝｸﾞ,,長町PS第1【仙台市】,ナガマチピーエスダイイチ,SND7800158,982-0011,宮城県仙台市太白区長町五丁目7-1,,,,,,,,,,,,,,,宮城県,仙台市太白区,長町五丁目7-1,,,,,,,宮城県仙台市太白区長町五丁目7-1,,,,,2003/11/01,,12,0,0,12,0,,,0
4633,P1000071,1040070,Dﾊﾟｰｷﾝｸﾞ,,富沢駅前,トミザワエキマエ,SND7800167,982-0014,宮城県仙台市太白区大野田5,,,,,,,,,,,,,,,宮城県,仙台市太白区,大野田5,,,,,,,宮城県仙台市太白区大野田5,,,,,2014/08/01,,23,0,0,23,0,,,0
4635,P1000073,1040072,Dﾊﾟｰｷﾝｸﾞ,,東二番丁PS第1,ヒガシニバンチョウドオリピーエスダイイチ,SND7800170,980-0023,宮城県仙台市青葉区北目町７-3,,,,,,,,,,,,,,,宮城県,仙台市青葉区,北目町７-3,,,,,,,宮城県仙台市青葉区北目町７-3,,,,,2014/10/01,,17,0,0,17,0,,,0
4641,P1000079,1040078,タイムパーク,,泉中央№2,イズミチュウオウナンバーニ,SND7800179,981-3133,宮城県仙台市泉区泉中央1-18-11,,,,,,,,,,,,,,,宮城県,仙台市泉区,泉中央1-18-11,,,,,,,宮城県仙台市泉区泉中央1-18-11,,,,,2015/06/16,,19,0,0,19,0,,,0
4660,P1000099,1040100,タイムパーク,,中山4丁目,センダイナカヤマヨンチョウメ,SND8100005,981-0952,宮城県仙台市青葉区中山4丁目1-1,,,,,,,,,,,,,,,宮城県,仙台市青葉区,中山4丁目1-1,,,,,,,宮城県仙台市青葉区中山4丁目1-1,,,,,2020/04/10,,10,0,0,10,0,,,0
4663,P1000102,1040103,Dﾊﾟｰｷﾝｸﾞ,,志波町PS第1,シワマチピーエスダイイチ,SND8200030,984-0041,宮城県仙台市若林区志波町18ｰ11,,,,,,,,,,,,,,,宮城県,仙台市若林区,志波町18ｰ11,,,,,,,宮城県仙台市若林区志波町18ｰ11,,,,,2022/03/01,,5,0,0,5,3,,,3
4664,P1000103,1040104,Dﾊﾟｰｷﾝｸﾞ,,土樋PS第2,ツチトイピーエスダイイチ,SND8500007,984-0065,宮城県仙台市若林区土樋８ パルメゾン土樋,,,,,,,,,,,,,,,宮城県,仙台市若林区,土樋８ パルメゾン土樋,,,,,,,宮城県仙台市若林区土樋８ パルメゾン土樋,,,,,2024/06/21,,7,0,0,7,0,,,0
