レコード番号,案件管理CD(自動採番),会計CD,ブランド名,ブランド名(その他),物件名称,物件名称（カナ）,【PS】物件No,郵便番号,地図表示用 所在地,緯度_代表点,経度_代表点,確認日_代表点,緯度_入口指定,経度_入口指定,確認日_入口指定,確認方法,入口座標フラグ,入口座標の郵便番号,入口座標の都道府県,入口座標の市区町村,入口座標の町域以降,入口座標の建物名,備考,都道府県,市区町村,町域,丁,番,号,複数の番地,建物および階,補足情報（今までの経緯や駐車場の入口に関する情報等）,所在地(謄本地番),丁,番,号,複数の番地,開設日,閉鎖日,四輪(時間貸),自動二輪(時間貸),自転車(時間貸),時間貸台数,四輪(月極),自動二輪(月極),自転車(月極),月極台数
4635,P1000073,1040072,Dﾊﾟｰｷﾝｸﾞ,,東二番丁PS第1,ヒガシニバンチョウドオリピーエスダイイチ,SND7800170,980-0023,宮城県仙台市青葉区北目町７-3,38.25365600000001,140.8785023,2026-03-03 17:01:23+09:00,,,,,,,,,,,,宮城県,仙台市青葉区,北目町７-3,,,,,,,宮城県仙台市青葉区北目町７-3,,,,,2014/10/01,,17,0,0,17,0,,,0
4641,P1000079,1040078,タイムパーク,,泉中央№2,イズミチュウオウナンバーニ,SND7800179,981-3133,宮城県仙台市泉区泉中央1-18-11,38.3247344,140.880169,2026-03-03 17:01:23+09:00,,,,,,,,,,,,宮城県,仙台市泉区,泉中央1-18-11,,,,,,,宮城県仙台市泉区泉中央1-18-11,,,,,2015/06/16,,19,0,0,19,0,,,0
4660,P1000099,1040100,タイムパーク,,中山4丁目,センダイナカヤマヨンチョウメ,SND8100005,981-0952,宮城県仙台市青葉区中山4丁目1-1,38.2908827,140.8439265,2026-03-03 17:01:23+09:00,,,,,,,,,,,,宮城県,仙台市青葉区,中山4丁目1-1,,,,,,,宮城県仙台市青葉区中山4丁目1-1,,,,,2020/04/10,,10,0,0,10,0,,,0
4663,P1000102,1040103,Dﾊﾟｰｷﾝｸﾞ,,志波町PS第1,シワマチピーエスダイイチ,SND8200030,984-0041,宮城県仙台市若林区志波町18ｰ11,38.2494172,140.9136142,2026-03-03 17:01:23+09:00,,,,,,,,,,,,宮城県,仙台市若林区,志波町18ｰ11,,,,,,,宮城県仙台市若林区志波町18ｰ11,,,,,2022/03/01,,5,0,0,5,3,,,3
4664,P1000103,1040104,Dﾊﾟｰｷﾝｸﾞ,,土樋PS第2,ツチトイピーエスダイイチ,SND8500007,984-0065,宮城県仙台市若林区土樋８ パルメゾン土樋,38.2447595,140.8850708,2026-03-03 17:01:23+09:00,,,,,,,,,,,,宮城県,仙台市若林区,土樋８ パルメゾン土樋,,,,,,,宮城県仙台市若林区土樋８ パルメゾン土樋,,,,,2024/06/21,,7,0,0,7,0,,,0
4665,P1000104,1040105,Dﾊﾟｰｷﾝｸﾞ,,小田原PS第3,オダワラピーエスダイサン,SND8500008,980-0003,宮城県仙台市宮城野区小田原１,38.266008,140.890563,2026-03-03 17:01:23+09:00,,,,,,,,,,,,宮城県,仙台市青葉区,仙台市宮城野区小田原１,,,,,,,宮城県仙台市宮城野区小田原１,,,,,2024/07/02,,6,0,0,6,24,,,24
4666,P1000105,1040106,Dﾊﾟｰｷﾝｸﾞ,,北仙台PS第2,ディパーキングキタセンダイピーエスダイニ,SND8500013,981-0916,宮城県仙台市青葉区青葉町153番4、153番5,38.2830786,140.8641973,2026-03-03 17:01:23+09:00,,,,,,,,,,,,宮城県,仙台市青葉区,青葉町153番4、153番5,,,,,,,宮城県仙台市青葉区青葉町153番4、153番5,,,,,2024/10/01,,10,0,0,10,0,,,0
4667,P1000106,1040107,Dﾊﾟｰｷﾝｸﾞ,,松岡町PS第1,マツオカチョウピーエスダ,SND8500015,983-0834,宮城県仙台市宮城野区松岡町２０-７,38.27447470000001,140.9149625,2026-03-03 17:01:23+09:00,,,,,,,,,,,,宮城県,仙台市宮城野区,松岡町２０-７,,,,,,,宮城県仙台市宮城野区松岡町２０-７,,,,,2024/10/25,,10,0,0,10,0,,,0
4671,P1000111,1040112,Dﾊﾟｰｷﾝｸﾞ,,春日町PS第12,カスガマチピィーエスダイジュウニ,SND8600007,980-0821,宮城県仙台市青葉区春日町５,38.2657907,140.8647227,2026-03-03 17:01:23+09:00,,,,,,,,,,,,宮城県,仙台市青葉区,春日町５,,,,,,,宮城県仙台市青葉区春日町５,,,,,2025/07/11,,14,0,0,14,0,,,0
4672,P1000112,1040113,Dﾊﾟｰｷﾝｸﾞ,,小田原弓ﾉ町PS第1,オダワラユミノマチピーエスダイイチ,SND8600008,9830812,宮城県仙台市宮城野区小田原弓ノ町,38.2643025,140.8909566,2026-03-03 17:01:23+09:00,,,,,,,,,,,,宮城県,仙台市宮城野区,小田原弓ノ町,,,,,11月6日,,宮城県仙台市宮城野区小田原弓ノ町,,,,,2025/08/08,,24,0,0,24,0,,,0
4673,P1000113,1040114,Dﾊﾟｰｷﾝｸﾞ,,榴岡PS第3,ツツジガオカピーエスダイサン,SND8600009,9830852,宮城県仙台市宮城野区榴岡5-8-22,38.2569174,140.892517,2026-03-03 17:01:23+09:00,,,,,,,,,,,,宮城県,仙台市宮城野区,榴岡5-8-22,,,,,,,宮城県仙台市宮城野区榴岡5-8-22,,,,,2025/08/08,,16,0,0,16,0,,,0
4674,P1000114,1040115,Dﾊﾟｰｷﾝｸﾞ,,宮城県庁前PS第1,ミヤギケンチョウマエピーエスダイイイチ,SND8600020,980-0014,宮城県仙台市青葉区本町3-5-28,38.2685288,140.8745791,2026-03-03 17:01:23+09:00,,,,,,,,,,,,宮城県,仙台市青葉区,本町3-5-28,,,,,,,宮城県仙台市青葉区本町3-5-28,,,,,2025/10/06,,12,0,0,12,0,,,0
4675,P1000115,1050001,Dﾊﾟｰｷﾝｸﾞ,,秋田中通4丁目PS第1,ディパーキングアキタナカトオリピーエスダイイイチ,SND8500022,010-0001,秋田県秋田市中通４丁目１?５５,39.7156108,140.122277,2026-03-03 17:01:23+09:00,,,,,,,,,,,,秋田県,秋田市,中通４丁目１?５５,,,,,,,秋田県秋田市中通４丁目１?５５,,,,,2025/02/01,,23,0,0,23,13,,,13
4676,P1000116,1070014,Dﾊﾟｰｷﾝｸﾞ,,堤下町PS第1,ツツミシタピーエスダイイチ,SND8400023,963-8878,福島県郡山市堤下町９?１１,37.3926219,140.3807864,2026-03-03 17:01:23+09:00,,,,,,,,,,,,福島県,郡山市,堤下町９?１１,,,,,,,福島県郡山市堤下町９?１１,,,,,2024/04/01,,8,0,0,8,8,,,8
4677,P1000117,1070015,Dﾊﾟｰｷﾝｸﾞ,,福島三河南町PS第1,フクシマミカワミナミマチピーエスダイイチ,SND8500002,960-8053,福島県福島市三河南町１６-８,37.75746360000001,140.4551715,2026-03-03 17:01:23+09:00,,,,,,,,,,,,福島県,福島市,三河南町１６-８,,,,,,,福島県福島市三河南町１６-８,,,,,2024/05/01,,20,0,0,20,0,,,0
